movieId,id,Title,Year,Director(s),Actors,Genre(s),Type,Language(s),Countries,imdbRating,Soundtrack_URL,Soundtrack
1,tt0114709,Toy Story,1995,['John Lasseter'],"['Tom Hanks', 'Tim Allen', 'Don Rickles']","['Animation', 'Adventure', 'Comedy']",['movie'],['English'],['United States'],8.3,https://www.imdb.com/title/tt0114709/soundtrack,"['You've Got a Friend in Me Written, Performed, and Produced by Randy Newman', 'Strange Things Written, Performed, and Produced by Randy Newman', 'I Will Go Sailing No More Written, Performed, and Produced by Randy Newman', 'Pop Goes the Weasel (uncredited)', 'Hakuna Matata from The Lion King (1994)']"
2,tt0113497,Jumanji,1995,['Joe Johnston'],"['Robin Williams', 'Kirsten Dunst', 'Bonnie Hunt']","['Adventure', 'Comedy', 'Family']",['movie'],"['English', 'French']",['United States'],7.1,https://www.imdb.com/title/tt0113497/soundtrack,"['Una voce poco fa from ""The Barber of Seville""', 'Locomotive Breath Written by Ian Anderson', 'Night and Day Written by Cole Porter', 'Serenade in D, Op.44 Composed by Antonín Dvorák (as Antonin Dvorak)', 'The Ballad of Gilligan's Isle Theme from Gilligan's Island (1964)', 'Hark! the Herald Angels Sing (uncredited)', 'We Wish You a Merry Christmas (uncredited)', 'Himno Nacional Mexicano (uncredited)']"
3,tt0113228,Grumpier Old Men,1995,['Howard Deutch'],"['Walter Matthau', 'Jack Lemmon', 'Ann-Margret']","['Comedy', 'Romance']",['movie'],"['English', 'Italian', 'German']",['United States'],6.6,https://www.imdb.com/title/tt0113228/soundtrack,"['(I'll Be Glad When You're Dead) You Rascal You Written by Spo-De-Odee', 'Dream A Little Dream Of Me Written by Wilbur Schwandt, Fabian Andre and Gus Kahn', 'Hit The Road Jack Written by Percy Mayfield', 'Volare Written by Mitchell Parish, Domenico Modugno and Franco Migliacci', 'Innamorata Written by Jack Brooks and Harry Warren', 'That's Amore Written by Jack Brooks and Harry Warren', 'Venus Written by Robbie van Leeuwen', 'Jump In The Line (Shake Señora) Written by Harry Belafonte, Rafael de León (as Ralph de Leon), Gabriel Oller and Steve Samuel', ''Maria' From 'West Side Story' Written by Leonard Bernstein and Stephen Sondheim', 'Stayin' Alive Written by Barry Gibb, Robin Gibb and Maurice Gibb', 'Liar's Polka Written by Thomas Newman and Frank Marocco', 'The Chicken Dance Written by Terry Rendall and Werner Thomas', ''S Wonderful Written by George Gershwin and Ira Gershwin', 'Almost Like Being In Love Written by Alan Jay Lerner and Frederick Loewe', 'Get Me To The Church On Time Written by Alan Jay Lerner and Frederick Loewe', 'I Hear Bells (Wedding Bells) Written by Tony Love and Bob Strong', 'O Sole Mio Written by Eduardo Di Capua, Giovanni Capurro and Alfredo Mazzucchi', 'Ring Of Fire Written by Merle Kilgore and June Carter Cash', 'Understand Your Man Written by Johnny Cash (as Johnny R. Cash)']"
4,tt0114885,Waiting to Exhale,1995,['Forest Whitaker'],"['Whitney Houston', 'Angela Bassett', 'Loretta Devine']","['Comedy', 'Drama', 'Romance']",['movie'],['English'],['United States'],6.0,https://www.imdb.com/title/tt0114885/soundtrack,"['Exhale (Shoop Shoop) Performed by Whitney Houston', 'Why Does It Hurt So Bad? Performed by Whitney Houston', 'Count On Me Performed by Whitney Houston and CeCe Winans', 'Wey U Performed by Chanté Moore', 'All Night Long Performed by SWV', 'Love Will Be Waiting At Home Performed by For Real', 'Sittin' Up In My Room Performed by Brandy Norwood (as Brandy)', 'And I Gave My Love To You Performed by Sonja Marie (Featuring Patrice Rushen on acoustic piano)', 'My Love, Sweet Love Performed by Patti LaBelle', 'Not Gon' Cry Performed by Mary J. Blige', 'My Funny Valentine Performed by Chaka Khan', 'How Could You Call Her Baby? Performed by Shanna', 'Let It Flow Performed by Toni Braxton', 'Kissing You Performed by Faith Evans', 'It Hurts Like Hell Performed by Aretha Franklin', 'This Is How It Works Performed by TLC', 'Somewhere There Is a Love Performed by De De O'Neal', 'I'm Gonna Make You My Wife Performed by The Whispers', 'Try Matty's Performed and Written by Aretha Franklin', 'Head Performed and Written by Prince', 'That Shit Turns Me On Performed by Oreolando Mallary', 'Love Theme from 'Romeo and Juliet' Written by Nino Rota', 'Happy Birthday To You Written by Mildred J. Hill (as Mildred) and Patty S. Hill (as Patty Hill)', 'Lovin' You Performed by Minnie Riperton (as Minni Riperton)', 'Creep Performed by TLC', 'It Might Be You Performed by Roberta Flack']"
5,tt0113041,Father of the Bride Part II,1995,['Charles Shyer'],"['Steve Martin', 'Diane Keaton', 'Martin Short']","['Comedy', 'Family', 'Romance']",['movie'],['English'],['United States'],6.1,https://www.imdb.com/title/tt0113041/soundtrack,"['Give Me the Simple Life Written by Rube Bloom and Harry Ruby', 'When the Saints Go Marching In Traditional, arranged by Fats Domino (as Antoine Domino) and David Bartholomew (as Dave Bartholomew)', 'At Last Written by Mack Gordon and Harry Warren', 'Remembering Annie Composed by Alan Silvestri', 'On the Sunny Side of the Street Written by Jimmy McHugh and Dorothy Fields', 'Pretty Baby Written by Gus Kahn, Tony Jackson, and Egbert Van Alstyne']"
6,tt0113277,Heat,1995,['Michael Mann'],"['Al Pacino', 'Robert De Niro', 'Val Kilmer']","['Action', 'Crime', 'Drama']",['movie'],"['English', 'Spanish']",['United States'],8.3,https://www.imdb.com/title/tt0113277/soundtrack,"['Always Forever Now Music by Passengers', 'Late Evening In Jersey Written and Performed by Brian Eno', 'Last Nite Written by Terje Rypdal', 'Force Marker Written and Performed by Brian Eno', 'Mystery Man Written and Performed by Terje Rypdal', 'New Dawn Fades Written by Ian Curtis, Peter Hook, Bernard Sumner and Stephen Morris', 'God Moving Over The Face Of The Waters Written by Moby (as Richard Hall)', 'The Monkey King Written and Performed by William Orbit', 'The Last Lagoon Written and Performed by William Orbit', 'Gringatcho Demento Written by William Orbit and Cleo Torez', 'The Mighty Limpopo Written and Performed by William Orbit', 'Ultramarine Written and Performed by Michael Brook', 'Arabic Agony Written by Tim Booth (as Timothy Booth), Larry Gott (as Lawrence Gott),', 'La Bas Written and Performed by Lisa Gerrard', 'Celon Written and Performed by Lisa Gerrard', 'Gloradin Written and Performed by Lisa Gerrard', 'In November Written and Performed by David Darling', 'Black Cloud Written by Steve Roach and Elmar Schulte', 'Armenia Written by Blixa Bargeld, Mark Chung, Alexander Hacke, Jon Caffery, FM Einheit (as Frank Strauss) and N.U. Unruh (as Andrew Chudy)', 'The Thrill Is Gone Written by Roy Hawkins and Rick Darnell', 'Will Gaines Written and Performed by Eric Clapton', 'By The Time I Get To Phoenix Written by Jimmy Webb', 'Top O' The Morning To Ya Written by Erik Schrody (as Eric Schrod), Leor Dimant (as Leon Demant) and Willie Dixon', 'Concerto For Violoncello And Orchestra Written by György Ligeti', 'Get Up To This Written by Derrick Xavier Gumbus (as Derrick Gumbus) and Loren Chaney', 'Steel Cello Lament Written & Performed by Elliot Goldenthal']"
7,tt0114319,Sabrina,1995,['Sydney Pollack'],"['Harrison Ford', 'Julia Ormond', 'Greg Kinnear']","['Comedy', 'Drama', 'Romance']",['movie'],"['English', 'French']","['Germany', 'United States']",6.3,https://www.imdb.com/title/tt0114319/soundtrack,"['Moonlight Music by John Williams', 'Call Me Irresponsible by Sammy Cahn and Jimmy Van Heusen (as James Van Heusen)', 'How Can I Remember? Music by John Williams', 'Stella By Starlight by Ned Washington and Victor Young', 'Protection by Andrew Vowles (as Andrew Vowles), Robert Del Naja, Grant Marshall (as Grantley Marshall), and Tracey Thorn', 'Love's In Need Of Love Today by Stevie Wonder', 'L'Amour est une Étoile Music by Vincent Scotto', 'Les Petites Notes Music by André Manoukian', 'Closer, Together, Now By Gordon Driver and Jeff Lams', 'Rapsodie on a Theme of Paganini, 18th Variation by Sergei Rachmaninoff', 'Dédicace Performed by Compagnie Jolie Môme (as La Compagnie Jolie Môme)', 'La Vie en Rose Music by Louiguy', 'I Wish I Were In Love Again by Richard Rodgers and Lorenz Hart', 'Love Letters by Edward Heyman and Victor Young', 'Moonlight Becomes You by Johnny Burke and Jimmy Van Heusen (as James Van Heusen)', 'My Old Flame by Arthur Johnston and Sam Coslow', 'High Hopes by Sammy Cahn and Jimmy Van Heusen (as James Van Heusen)', 'The Shadow of Your Smile by Johnny Mandel and Paul Francis Webster', 'For All We Know by Sam Lewis and J. Fred Coots', 'I Remember You by Johnny Mercer and Victor Schertzinger', 'Maude's Fanfare by John E. Oliver', 'Happy Birthday to You by Mildred J. Hill and Patty S. Hill', 'Bei Mir Bist Du Schon (Means That You're Grand) by Sholom Secunda (as Sheldon Secunda), Jacob Jacobs, Sammy Cahn, and Saul Chaplin', 'When Joanna Loved Me by Jack Segal and Robert Wells', 'Ruf A Dabel Le'Yan By Sidi Kaddour Al-Alami']"
8,tt0112302,Tom and Huck,1995,['Peter Hewitt'],"['Jonathan Taylor Thomas', 'Brad Renfro', 'Charles Rocket']","['Adventure', 'Comedy', 'Drama']",['movie'],['English'],['United States'],5.5,https://www.imdb.com/title/tt0112302/soundtrack,"['Buffalo Gals (uncredited)', 'Ring Around the Rosie (uncredited)']"
9,tt0114576,Sudden Death,1995,['Peter Hyams'],"['Jean-Claude Van Damme', 'Powers Boothe', 'Raymond J. Barry']","['Action', 'Crime', 'Thriller']",['movie'],['English'],['United States'],5.8,https://www.imdb.com/title/tt0114576/soundtrack,"['Rock And Roll, Part II Written by Gary Glitter, Mike Leander', 'ESPN National Hockey League Theme Written by Bob Christianson', 'Arena Themes Written and Performed by Bob Hackl and Ken Stange as Sourcerer']"
10,tt0113189,GoldenEye,1995,['Martin Campbell'],"['Pierce Brosnan', 'Sean Bean', 'Izabella Scorupco']","['Action', 'Adventure', 'Thriller']",['movie'],"['English', 'Russian', 'Spanish']","['United Kingdom', 'United States']",7.2,https://www.imdb.com/title/tt0113189/soundtrack,"['Goldeneye Music by Bono', 'The Experience of Love Written by Rupert Hine and Éric Serra', 'Stand By Your Man Written by Billy Sherrill and Tammy Wynette', 'James Bond Theme Music by Monty Norman', 'Preobrajensky March (uncredited)']"
